County,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Essex County, NJ",34013.0,2005.0,All other drug-induced causes,D9,17.0
"Gloucester County, NJ",34015.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Hudson County, NJ",34017.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0
"Hudson County, NJ",34017.0,2005.0,All other drug-induced causes,D9,11.0
"Mercer County, NJ",34021.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Middlesex County, NJ",34023.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,54.0
"Middlesex County, NJ",34023.0,2005.0,All other drug-induced causes,D9,10.0
"Monmouth County, NJ",34025.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"Monmouth County, NJ",34025.0,2005.0,All other drug-induced causes,D9,10.0
"Morris County, NJ",34027.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Ocean County, NJ",34029.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Passaic County, NJ",34031.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,59.0
"Salem County, NJ",34033.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Somerset County, NJ",34035.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Union County, NJ",34039.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Union County, NJ",34039.0,2005.0,All other drug-induced causes,D9,14.0
"Bernalillo County, NM",35001.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,147.0
"Chaves County, NM",35005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Dona Ana County, NM",35013.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Eddy County, NM",35015.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"McKinley County, NM",35031.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Rio Arriba County, NM",35039.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Santa Fe County, NM",35049.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Valencia County, NM",35061.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Bronx County, NY",36005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,135.0
"Bronx County, NY",36005.0,2005.0,All other drug-induced causes,D9,54.0
"Erie County, NY",36029.0,2005.0,All other drug-induced causes,D9,11.0
"Kings County, NY",36047.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,203.0
"Kings County, NY",36047.0,2005.0,All other drug-induced causes,D9,24.0
"Nassau County, NY",36059.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Nassau County, NY",36059.0,2005.0,All other drug-induced causes,D9,12.0
"New York County, NY",36061.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,165.0
"New York County, NY",36061.0,2005.0,All other drug-induced causes,D9,32.0
"Queens County, NY",36081.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,136.0
"Queens County, NY",36081.0,2005.0,All other drug-induced causes,D9,17.0
"Richmond County, NY",36085.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0
"Suffolk County, NY",36103.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Alamance County, NC",37001.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Brunswick County, NC",37019.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Buncombe County, NC",37021.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0
"Burke County, NC",37023.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Cabarrus County, NC",37025.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Caldwell County, NC",37027.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Carteret County, NC",37031.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Catawba County, NC",37035.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Cleveland County, NC",37045.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Columbus County, NC",37047.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Craven County, NC",37049.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Cumberland County, NC",37051.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Davidson County, NC",37057.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Durham County, NC",37063.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Forsyth County, NC",37067.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Gaston County, NC",37071.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0
"Guilford County, NC",37081.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0
"Henderson County, NC",37089.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Iredell County, NC",37097.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Mecklenburg County, NC",37119.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0
"New Hanover County, NC",37129.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0
"Onslow County, NC",37133.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Randolph County, NC",37151.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Rockingham County, NC",37157.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Rowan County, NC",37159.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Rutherford County, NC",37161.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Surry County, NC",37171.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Union County, NC",37179.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Vance County, NC",37181.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Wake County, NC",37183.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0
"Wilkes County, NC",37193.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Butler County, OH",39017.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Butler County, OH",39017.0,2005.0,All other drug-induced causes,D9,22.0
"Clark County, OH",39023.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Clermont County, OH",39025.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Cuyahoga County, OH",39035.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,116.0
"Franklin County, OH",39049.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,102.0
"Franklin County, OH",39049.0,2005.0,All other drug-induced causes,D9,35.0
"Greene County, OH",39057.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Hamilton County, OH",39061.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0
"Jefferson County, OH",39081.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Lake County, OH",39085.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Lorain County, OH",39093.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Lucas County, OH",39095.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0
"Mahoning County, OH",39099.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Miami County, OH",39109.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Montgomery County, OH",39113.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,113.0
"Richland County, OH",39139.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Ross County, OH",39141.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Scioto County, OH",39145.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Stark County, OH",39151.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Summit County, OH",39153.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0
"Trumbull County, OH",39155.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Warren County, OH",39165.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Cleveland County, OK",40027.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Oklahoma County, OK",40109.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,63.0
"Oklahoma County, OK",40109.0,2005.0,All other drug-induced causes,D9,13.0
"Tulsa County, OK",40143.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,92.0
"Tulsa County, OK",40143.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0
"Wagoner County, OK",40145.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Clackamas County, OR",41005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Jackson County, OR",41029.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Lane County, OR",41039.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Lane County, OR",41039.0,2005.0,All other drug-induced causes,D9,11.0
"Linn County, OR",41043.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Marion County, OR",41047.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Marion County, OR",41047.0,2005.0,All other drug-induced causes,D9,15.0
"Multnomah County, OR",41051.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0
"Multnomah County, OR",41051.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0
"Multnomah County, OR",41051.0,2005.0,All other drug-induced causes,D9,49.0
"Washington County, OR",41067.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Allegheny County, PA",42003.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,188.0
"Beaver County, PA",42007.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Berks County, PA",42011.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Blair County, PA",42013.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Bucks County, PA",42017.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,57.0
"Butler County, PA",42019.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Cambria County, PA",42021.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Carbon County, PA",42025.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Chester County, PA",42029.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Clearfield County, PA",42033.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Dauphin County, PA",42043.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Delaware County, PA",42045.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,69.0
"Delaware County, PA",42045.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0
"Erie County, PA",42049.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Fayette County, PA",42051.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Lackawanna County, PA",42069.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Lancaster County, PA",42071.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"Lehigh County, PA",42077.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Luzerne County, PA",42079.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0
"Mercer County, PA",42085.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Monroe County, PA",42089.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Montgomery County, PA",42091.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,63.0
"Northampton County, PA",42095.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Philadelphia County, PA",42101.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,356.0
"Philadelphia County, PA",42101.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0
"Schuylkill County, PA",42107.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Washington County, PA",42125.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Westmoreland County, PA",42129.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"York County, PA",42133.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
"Kent County, RI",44003.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0
"Providence County, RI",44007.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Providence County, RI",44007.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,70.0
"Aiken County, SC",45003.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Anderson County, SC",45007.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Berkeley County, SC",45015.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Charleston County, SC",45019.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Greenville County, SC",45045.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0
"Horry County, SC",45051.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Laurens County, SC",45059.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Lexington County, SC",45063.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Oconee County, SC",45073.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Pickens County, SC",45077.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Richland County, SC",45079.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Spartanburg County, SC",45083.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0
"York County, SC",45091.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Anderson County, TN",47001.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Blount County, TN",47009.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Davidson County, TN",47037.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,76.0
"Hamilton County, TN",47065.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Jefferson County, TN",47089.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Knox County, TN",47093.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0
"Knox County, TN",47093.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,24.0
"Montgomery County, TN",47125.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Roane County, TN",47145.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Rutherford County, TN",47149.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Sevier County, TN",47155.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Shelby County, TN",47157.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,79.0
"Shelby County, TN",47157.0,2005.0,All other drug-induced causes,D9,10.0
"Sullivan County, TN",47163.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0
"Sumner County, TN",47165.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Washington County, TN",47179.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Wilson County, TN",47189.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Bell County, TX",48027.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Bexar County, TX",48029.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,140.0
"Bexar County, TX",48029.0,2005.0,All other drug-induced causes,D9,36.0
"Brazoria County, TX",48039.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Cameron County, TX",48061.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Collin County, TX",48085.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Dallas County, TX",48113.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,169.0
"Dallas County, TX",48113.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,27.0
"Dallas County, TX",48113.0,2005.0,All other drug-induced causes,D9,14.0
"Denton County, TX",48121.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Ector County, TX",48135.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"El Paso County, TX",48141.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"Fort Bend County, TX",48157.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Galveston County, TX",48167.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0
"Gregg County, TX",48183.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Hardin County, TX",48199.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Harris County, TX",48201.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,290.0
"Harris County, TX",48201.0,2005.0,All other drug-induced causes,D9,34.0
"Hidalgo County, TX",48215.0,2005.0,All other drug-induced causes,D9,10.0
"Jefferson County, TX",48245.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Lubbock County, TX",48303.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"McLennan County, TX",48309.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Midland County, TX",48329.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Montgomery County, TX",48339.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0
"Nueces County, TX",48355.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Nueces County, TX",48355.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0
"Orange County, TX",48361.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Tarrant County, TX",48439.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0
"Tarrant County, TX",48439.0,2005.0,All other drug-induced causes,D9,10.0
"Taylor County, TX",48441.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Tom Green County, TX",48451.0,2005.0,All other drug-induced causes,D9,10.0
"Travis County, TX",48453.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0
"Webb County, TX",48479.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Wichita County, TX",48485.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Williamson County, TX",48491.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Davis County, UT",49011.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,22.0
"Salt Lake County, UT",49035.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
"Salt Lake County, UT",49035.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,135.0
"Salt Lake County, UT",49035.0,2005.0,All other drug-induced causes,D9,23.0
"Utah County, UT",49049.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Utah County, UT",49049.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,57.0
"Washington County, UT",49053.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0
"Weber County, UT",49057.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,27.0
"Buchanan County, VA",51027.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Chesterfield County, VA",51041.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Fairfax County, VA",51059.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Henrico County, VA",51087.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Montgomery County, VA",51121.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Prince William County, VA",51153.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Pulaski County, VA",51155.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Russell County, VA",51167.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Tazewell County, VA",51185.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Wise County, VA",51195.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Chesapeake city, VA",51550.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Norfolk city, VA",51710.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Richmond city, VA",51760.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Roanoke city, VA",51770.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Virginia Beach city, VA",51810.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Benton County, WA",53005.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Clallam County, WA",53009.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Clark County, WA",53011.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Cowlitz County, WA",53015.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Grant County, WA",53025.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"King County, WA",53033.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,189.0
"King County, WA",53033.0,2005.0,All other drug-induced causes,D9,16.0
"Kitsap County, WA",53035.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Lewis County, WA",53041.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Pierce County, WA",53053.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,69.0
"Skagit County, WA",53057.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Snohomish County, WA",53061.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0
"Spokane County, WA",53063.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,74.0
"Thurston County, WA",53067.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Whatcom County, WA",53073.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Yakima County, WA",53077.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Berkeley County, WV",54003.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Cabell County, WV",54011.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Kanawha County, WV",54039.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Raleigh County, WV",54081.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Dane County, WI",55025.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Kenosha County, WI",55059.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Milwaukee County, WI",55079.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,147.0
"Milwaukee County, WI",55079.0,2005.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0
"Milwaukee County, WI",55079.0,2005.0,All other drug-induced causes,D9,13.0
"Racine County, WI",55101.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Rock County, WI",55105.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Waukesha County, WI",55133.0,2005.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Baldwin County, AL",1003.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Chilton County, AL",1021.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Jefferson County, AL",1073.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0
"Jefferson County, AL",1073.0,2006.0,All other drug-induced causes,D9,31.0
"Mobile County, AL",1097.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Mobile County, AL",1097.0,2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Montgomery County, AL",1101.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Morgan County, AL",1103.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Shelby County, AL",1117.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Tuscaloosa County, AL",1125.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Anchorage Borough, AK",2020.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Matanuska-Susitna Borough, AK",2170.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Cochise County, AZ",4003.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Maricopa County, AZ",4013.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,400.0
"Maricopa County, AZ",4013.0,2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,54.0
"Maricopa County, AZ",4013.0,2006.0,All other drug-induced causes,D9,63.0
"Mohave County, AZ",4015.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Navajo County, AZ",4017.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Pima County, AZ",4019.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,157.0
"Pima County, AZ",4019.0,2006.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Pinal County, AZ",4021.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Yavapai County, AZ",4025.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Yuma County, AZ",4027.0,2006.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
